start,end,count,severity,top1_raw,driver,anomaly_score
2025-01-09 22:11:48,2025-01-09 22:16:58,3,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,motor RMS mean,-0.07803081013626945
2025-01-10 00:48:48,2025-01-10 00:51:18,3,medium,motor_X-Axis_Kurtosis_scaled_volatility,motor Kurtosis volatility,-0.06467250508711975
2025-01-10 13:27:48,2025-01-10 13:36:48,3,medium,roller2_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.04959848711200965
2025-01-10 15:36:48,2025-01-10 15:45:17,4,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.08735181335426978
2025-01-10 18:30:18,2025-01-10 18:36:47,3,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.07759586910292515
2025-01-10 19:27:38,2025-01-10 19:37:47,3,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.0800516762495106
2025-01-10 23:17:48,2025-01-10 23:27:38,4,medium,roller2_X-Axis_Kurtosis_scaled_roll_std,roller2 Kurtosis std,-0.05769332184119946
2025-01-11 00:24:17,2025-01-11 00:33:07,4,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.06551971162333381
2025-01-11 03:46:48,2025-01-11 03:48:28,6,medium,gearbox_Z-Axis_Kurtosis_scaled_roll_std,gearbox Kurtosis std,-0.06389715170196608
2025-01-11 14:53:27,2025-01-11 14:58:47,5,medium,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.1163430405816761
2025-01-11 15:55:47,2025-01-11 16:05:38,3,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.05233719952960181
2025-01-11 16:46:07,2025-01-11 16:54:17,3,medium,gearbox_Z-Axis_Kurtosis_scaled,gearbox Kurtosis scaled,-0.05535535625496302
2025-01-11 17:16:48,2025-01-11 17:16:48,1,high,motor_Z-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.1310048897099948
2025-01-11 22:33:47,2025-01-11 22:44:17,4,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.058638341075474054
2025-01-12 00:12:07,2025-01-12 00:17:27,3,medium,roller2_X-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.08489059398219101
2025-01-12 01:19:07,2025-01-12 01:24:27,3,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.057308593358127324
2025-01-12 02:17:27,2025-01-12 02:17:27,1,high,roller2_X-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.1280704286223333
2025-01-12 03:36:47,2025-01-12 03:36:47,1,high,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.12874158294729887
2025-01-12 04:16:16,2025-01-12 04:16:16,1,high,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.1387479302147332
2025-01-12 06:08:26,2025-01-12 06:12:07,3,medium,roller1_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.052371020768959275
2025-01-12 06:49:47,2025-01-12 07:01:16,4,medium,motor_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,motor Peak volatility,-0.07573715421809546
2025-01-13 08:34:56,2025-01-13 08:35:56,4,medium,roller1_X-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.09306117507823031
2025-01-13 16:21:46,2025-01-13 16:26:26,4,medium,roller2_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.05181362913419452
2025-01-13 18:55:56,2025-01-13 19:09:26,3,medium,gearbox_Z-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.06427225051398766
2025-01-13 22:44:36,2025-01-13 22:53:36,3,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.060095997209638985
2025-01-14 00:33:36,2025-01-14 00:45:35,7,medium,motor_Z-Axis_Kurtosis_scaled_roll_std,motor Kurtosis std,-0.049872975629999705
2025-01-14 02:01:46,2025-01-14 02:06:56,4,medium,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.04995885683399015
